,Cantonese,English,Simplified Chinese
0,點呀,cloud,云
1,唔該,ask,问
2,多謝,buy,买
3,唔使客氣,have enough,够
4,你好嗎,boat,船
5,你食咗飯未,know how to,认识
6,你最近點啊,learn,学
7,食飯,car,车
8,再見,root,根
9,喂,live / reside,住
10,聽日見,look for,找
11,早晨,love,爱
12,唔該埋單,return / back / re-,回
13,拿,orange,橙子
14,我愛你,say / speak,说
15,你可唔可以講得更慢啲,do,做
16,我,see,看
17,你,drink,喝
18,佢,go,去
19,我哋 ,walk,行
20,你哋,here you go,拿
21,佢哋,spin,转
22,零,two (for counting),二
23,一,I,我
24,二,you,你
25,兩,leave,离开
26,三,he / she / it,他
27,四,push,推
28,五,pull,拉
29,六,zero,零
30,七,one,一
31,八,chair,椅子
32,九,moon,月
33,十,shake,摇
34,十一,come,来
35,十二,eat,吃
36,二十/廿,make,做
37,三十,want to / would like to,想
38,一百,listen,听
39,一千,water,水
40,一萬 ,shrimp,虾
41,第,leaf,叶
42,一半,leg,腿
43,五十二 ,want / need,要
44,四十一 ,lip,唇
45,三十八 ,lungs,肺
46,書,mouth,嘴
47,櫈,mouth,口
48,車,bottle,瓶子
49,屋企,hate,恨
50,月,neck,脖子
51,人,liver,肝
52,植物,pear,梨
53,嘢,come,来
54,星,go,去
55,太陽,person,人
56,抬,negation,不
57,電話,walk,行走
58,電視,something,东西
59,樹,star,星
60,水,table,桌子
61,小朋友,plum,李
62,動詞,tree,树
63,唔,water,水
64,會,ticket,票
65,係,will / would,会
66,有,peach,桃
67,冇,be (verb to be),是 
68,去,have,有
69,嚟,not have,没有
70,可以,find,找
71,要,hello? (on phone),喂
72,想,beans,豆
73,想要,look at,看
74,整,god,神
75,做,watch,看
76,食,few / a few,几
77,飲,fish,鱼
78,鍾意,tree,树
79,問,enough,够
80,買,soup,汤
81,夠,near,近
82,知道,small,細
83,識,north,北
84,學,hot,热
85,走,a little,少
86,聽,rice (raw),米
87,住,new,新
88,搵,few / a few,几
89,愛,again,再
90,返,Buddha,佛
91,翻嚟,class,班
92,返去,cold,冷
93,講,cheap,便宜
94,睇,west,西
95,翻譯,difficult,难
96,明白,expensive,贵
97,識聽,south,南
98,等陣,east,东
99,好,warm,暖
100,靚,fast,快
101,大,course,堂
102,平,noodles,面条
103,凍,meat,肉
104,黐線,chicken,鸡
105,得意,duck,鸭
106,難,egg,蛋
107,容易,rice (cooked),米
108,貴,nose,鼻子
109,快,small,小
110,幾,down,下
111,開心,escape,逃
112,熱,drag,拉
113,少,crawl,爬
114,多啲,-th,第
115,新,climb,爬
116,唔開心,bounce,跳
117,細,three,三
118,小,tangerine,橘子
119,好小,four,四
120,攰,two (for the number of object),两
121,太多,car,车
122,唔係太多,vibrate,振动
123,核突,green onion,葱
124,非常,look for,查找
125,好,book,书
126,暖,fall,掉
127,一啲,jump,跳
128,好多,kneel,跪
129,再,tired,累了
130,夠,up,上
131,可能,left,左
132,或者,very,好
133,一齊,good,好
134,邊個,beautiful,漂亮
135,乜嘢,table,桌子
136,幾時,be (somewhere),在
137,邊度?,go,去
138,幾多,five,五
139,邊個,six,六
140,邊種,seven,七
141,白板 ,eight,八
142,粉筆,nine,九
143,班,ten,十
144,堂,far,远
145,書檯,star,星
146,功課,big,大
147,校長,sea,海
148,成績表,bamboo,竹子
149,學期,marinate,腌
150,學生,thin,瘦
151,老師,chicken,鸡
152,畢業 ,tall,高
153,讀書,simmer,煨
154,溫習,stir fry / sauté,炒
155,學校,smoked,熏
156,幼稚園,tea,茶
157,小學,pan-fried,煎
158,中學,dog,狗
159,大學,wolf,狼
160,學位,eagle / falcon / hawk,鹰
161,文憑,swollen,肿
162,證書,short,矮
163,中學文憑,flower,花
164,學士,grass,草
165,碩士 ,braise / steam,蒸
166,博士,beautiful,漂亮
167,科,leopard,豹
168,生物學,lean,瘦
169,微積分,juice,汁
170,化學,weird,怪
171,經濟學,stupid,蠢
172,工程,panther,豹
173,地理,rabbit,兔
174,歷史,strange,怪
175,數學,silly,儍
176,音樂 ,horse,马
177,物理,old,老
178,科學,odd,怪
179,社會學,roast,烤
180,統計學,subject,科
181,城市規劃,letter,信
182,語言學,deer,鹿
183,動物,bite,咬
184,貓 ,comb,梳子
185,貓仔,loud,吵
186,狗,lazy,懒
187,狗仔,bug,虫
188,雞,smells good,香
189,母雞,capable / smart / brilliant  ,很棒
190,公雞,hot,热
191,馬,fish,鱼
192,豬,claw,爪
193,綿羊,mosquito,蚊子
194,哺乳類動物,dragon,龙
195,熊,cooked,熟
196,北極熊 ,burned,烧焦
197,鹿,turtle,龟
198,大笨象,love,爱
199,山羊,good,好的
200,刺蝟,vegetarian,素
201,樹熊,raw,生
202,豹,alcohol (beverage),酒
203,獅子,crazy,疯狂
204,馬騮,tired,累
205,老鼠,mirror,镜
206,熊貓,paper,纸
207,豹,table,桌子
208,箭豬,wing,翅膀
209,兔,chair,椅子
210,馴鹿,book,书
211,松鼠,hot,热
212,老虎,sore,疮
213,狼,bed,床
214,雀仔,book,书
215,蝙蝠,chair,椅子
216,烏鴉,drink,喝
217,白鴿,eat,吃
218,鷹,brush,刷子
219,貓頭鷹,fat,胖
220,鸚鵡,cold,冷
221,海鷗,brick,砖
222,魚,wave,浪
223,海豚,wow,哇
224,鯊魚,foot,脚
225,鯨魚,water,水
226,蟲,hair (not on head),毛
227,螞蟻,can,罐
228,蜜蜂,face,脸
229,蝴蝶,tongue,舌
230,曱甴,expensive,贵
231,蜻蜓,wok,锅
232,烏蠅,return,还
233,金龜,rent,租
234,蚊,record,录
235,蜘蛛,copy,抄
236,大黃蜂,waist,腰
237,鱷魚,ticket,票
238,龍,eye,眼睛
239,青蛙,hey,嘿
240,蜥蜴,bear,熊
241,蛇 ,stomach,胃
242,龜,river,河
243,爪,tree,树
244,羽毛,heart,心
245,下巴,head,头
246,尾巴,hand,手
247,觸手,breast / chest,胸
248,翼,angry,生气
249,樹皮,afraid / scared,怕
250,咬,belly,肚子
251,浴缸,blood,血
252,刷,bone,骨
253,梳,brain,脑
254,護髮素,annoyed,烦
255,牙線,book,书
256,止汗劑,sweat,汗
257,電鬚刨,socks,袜子
258,鬚刨,table,桌子
259,紙巾,hat,帽子
260,瀉藥,knife,刀
261,唇膏,jacket,外套
262,化妝,pants,裤子
263,鏡,ticket,票
264,指甲鉗,song,歌
265,香水,plate,盘子
266,M巾,bored,闷
267,洗頭水,table,桌子
268,剃鬚膏,cold,冷
269,沖涼,milk,奶
270,洗手盤,pig,猪
271,番梘,cheap,便宜
272,梘液,wine,酒
273,沖涼液,fork,叉子
274,棉條,song,歌
275,廁所,bowl,碗
276,沖廁,boots,靴子
277,廁紙,dishes,盘子
278,牙刷,money,钱
279,刷牙,zinc,锌
280,牙膏,silver,银
281,凡士林,iron,铁
282,床,gold,金
283,書,copper,铜
284,櫈,buy,买
285,電腦,shoes,鞋
286,避孕套,lake,湖
287,床單,button,钮扣
288,枕頭,spit,吐
289,枱,clothes,衣服
290,電話,cup,杯子
291,電視,cloud,云
292,手臂,watch,看
293,背脊,hedgehog,刺猬
294,鬍鬚,koala,树熊
295,肚,doggy,小狗
296,血,whale,鲸鱼
297,身體,ant,蚂蚁
298,骨,laxative,泻药
299,腦,razor,剃须刀
300,胸,Kleenex,纸巾
301,耳朵,lipstick,口红
302,眼,study,读书
303,臉,make-up,化妆
304,手指,teacher,老师
305,指甲,bee,蜜蜂
306,腳,goat,山羊
307,頭髮,rooster,公鸡
308,毛,sheep,绵羊
309,手,dolphin,海豚
310,頭,diploma,文凭
311,心,shark,鲨鱼
312,膝頭哥,mouse / rat,老鼠
313,腿,lion,狮子
314,唇,math,数学
315,肝,engineering,工程
316,肺,physics,物理
317,嘴,science,科学
318,口,chemistry,化学
319,肌肉,revise,温习
320,神經,cat,猫
321,頸,monkey,猴子
322,鼻,kitty cat,小猫
323,器官,hen,母鸡
324,病咗,Doctorate (PhD),博士
325,膊頭,animal,动物
326,皮膚,tampon,棉条 
327,胃,student,学生
328,汗,snake,蛇
329,牙齒,feather,羽毛
330,手指公,jaws,下巴
331,舌,tail,尾巴
332,腰,tentacle,触手
333,廁所,bark,树皮
334,嚟M,lizard,蜥蜴
335,鼻涕,orange,橙色
336,嘔,dark color,深色
337,泳衣,purple,紫色
338,衫,white wine,白酒
339,皮帶,seagull,海鸥
340,靴,black tea,红茶
341,孖煙通,green tea,绿茶
342,底褲,so small,太小
343,鈕,frog,青蛙
344,大褸,crocodile,鳄鱼
345,長裙,spider,蜘蛛
346,手套,shower,洗澡
347,帽,term / semester,学期
348,高踭鞋,bar soap,肥皂
349,褸,liquid soap,液体肥皂
350,牛仔褲,principal,校长
351,褲,menstrual pad,卫生巾
352,睡衣,dental floss,牙线
353,雨褸,school,学校
354,跑鞋,bathtub,浴缸
355,涼鞋,butterfly,蝴蝶
356,頸巾,cockroach,蟑螂
357,恤衫,dragonfly,蜻蜓
358,鞋,fly,苍蝇
359,短褲,secondary school,中学
360,短裙,ladybug,瓢虫
361,拖鞋,perfume,香水
362,襪,primary school,小学
363,絲襪,suit,西装
364,西裝,dove / pigeon,白鸽
365,冷衫,zipper,拉链
366,領呔,color,颜色
367,內衣,beige,米色
368,制服,black,黑色
369,拉鏈,blue,蓝色
370,顏色,brown,棕色
371,米色,uniform,制服
372,黑色,underwear,内衣
373,藍色,gold,金色
374,啡色,green,绿色
375,深色,green-yellow,青色
376,螢光,grey,灰色
377,金色,disgusting,恶心
378,綠色,light color,浅色
379,青色,history,历史
380,灰色,too many / too much,太多
381,淺色,gloves,手套
382,棗紅色,desk,书桌
383,橙色,toothpaste,牙膏
384,粉紅色,herbal tea,凉茶
