Source,https://words.hk/faiman/analysis/charcount/
"
",96109
"",96109
 ,54069
$,204
%,1528
/,3012
0,5145
1,6010
2,4852
3,1923
4,1691
5,1815
a,22416
b,3971
d,5202
e,23854
f,2966
g,4068
i,15204
l,13913
n,18806
o,14217
p,5175
r,11148
s,10100
t,12709
u,8029
v,1960
w,2840
z,334
…,9990
、,7257
。,76756
「,24390
」,24364
㗎,935
一,40733
三,2891
上,8068
下,8722
不,12191
且,1182
中,6279
主,2206
之,7832
乜,1940
事,6336
二,2048
交,1078
亦,3370
人,25719
今,2725
仔,4123
他,2352
以,13809
仲,5261
件,1796
企,1738
伏,156
似,4068
但,9870
位,1926
低,1705
住,7016
你,24115
佢,21179
佬,851
使,1239
例,1292
便,519
係,58450
俬,6
俾,3454
個,26373
偏,430
做,7621
傅,278
傢,15
傳,1094
全,3478
兩,3223
八,952
公,2863
六,846
其,6344
冇,3585
冷,636
出,9358
初,809
別,1070
利,1122
到,18645
前,3677
剔,25
劃,281
劏,45
力,3135
加,2433
努,373
動,2462
包,878
北,330
十,3029
半,1097
厓,1
去,10507
參,410
又,8384
友,2918
受,1683
口,3043
另,1263
只,5567
可,11298
台,826
叻,212
各,788
同,14285
吖,278
吸,438
呎,44
呢,14203
味,857
咁,16922
咖,247
咗,8167
咩,6763
哋,4113
哥,816
唔,34780
唯,437
啊,655
問,4695
啡,191
啱,941
啲,6595
喇,1482
喪,131
單,1887
喺,5589
嗯,173
嗰,2710
嘅,27130
嘈,235
嘢,3877
噉,700
嚕,30
嚟,4560
嚿,32
四,1554
圍,632
地,9947
坊,117
坑,60
埋,3442
執,594
堆,652
堪,70
塵,119
境,477
外,2288
多,9605
大,13682
天,2557
太,2282
奇,841
女,5162
好,24527
如,6716
始,2194
子,2432
宋,63
完,3756
定,4752
客,801
室,427
家,8709
察,467
實,5896
將,2470
尋,301
對,5983
小,3321
少,3851
就,17689
居,431
屋,1526
屍,175
層,624
山,815
州,173
工,2425
己,6044
已,5335
市,1024
布,290
帆,15
希,685
師,1219
帶,1097
幫,1460
平,1949
年,5419
幾,6441
床,294
底,925
度,5020
座,314
廁,296
廚,123
廢,478
廣,1108
廳,262
式,1047
引,601
張,1443
影,1321
後,9304
得,12993
心,6310
必,1013
忙,297
惠,85
想,6244
意,5051
感,2134
應,3346
成,6110
我,44868
户,4
房,724
所,5978
手,4358
打,4025
托,152
抵,207
拖,584
拜,369
拱,11
挑,188
探,248
接,1700
推,856
提,1253
搞,1754
搬,151
撈,70
撤,29
擺,395
攞,212
攤,125
攰,67
放,2102
料,577
斤,67
新,2049
方,3408
於,4897
施,250
日,6633
早,1287
星,955
時,9065
晒,2417
晚,1110
書,2236
最,5012
會,15588
有,26121
朋,1636
服,568
望,3085
朝,376
期,1440
未,2731
本,4569
村,292
果,7739
枱,150
柴,150
條,2583
業,1016
概,622
樣,6103
機,2842
橫,194
櫃,115
次,3973
正,3320
步,1075
歸,395
死,3190
比,1994
氏,84
水,2355
江,174
污,163
決,1135
沖,223
法,3708
活,1086
淡,270
清,1739
減,285
港,4643
滿,832
潔,128
火,855
灶,10
為,9236
焗,44
無,12740
然,10989
煎,48
照,772
煮,156
燒,375
爆,795
爐,102
爛,362
片,746
特,1211
獨,577
現,3027
理,3585
環,711
生,7444
用,5546
田,180
由,2116
申,268
留,1191
當,5028
痕,123
發,4366
盒,201
盡,814
直,2322
相,2988
真,8457
睇,5817
督,55
知,7729
砌,108
砰,23
磚,38
祖,290
神,2249
租,130
秤,21
移,302
程,765
空,885
第,2195
範,210
籍,70
精,947
粿,1
糕,103
糟,103
約,560
終,1838
絡,225
統,558
經,6931
線,1367
繼,1576
續,1721
美,1380
考,936
而,7195
耐,948
聚,205
聯,466
聲,3736
能,4415
自,9337
至,3062
致,395
興,709
舊,778
舒,150
茶,384
落,3174
蒸,43
蔔,21
薯,34
蘿,38
處,1184
行,4159
街,1585
製,261
褥,4
西,904
要,12431
見,4454
視,1148
覺,4057
解,4133
言,1843
訂,102
計,1255
訪,175
試,1395
話,9913
該,2293
認,1712
調,725
論,1640
諗,3209
講,10815
識,2927
買,1219
貼,355
賣,593
購,62
贈,38
走,2611
起,3653
趣,534
足,1026
路,2083
踩,117
身,3673
較,602
輩,140
辦,854
近,1429
返,3813
送,677
逃,185
通,2527
連,1768
週,54
運,782
過,10177
道,3743
遠,1077
遷,61
避,395
邊,4093
郁,366
都,24984
鄉,188
鄧,41
鄰,43
醬,37
里,249
重,2532
量,821
金,1409
鋪,329
錦,34
錯,1732
鍾,907
鑊,188
鑿,37
長,2079
開,6084
間,4276
阿,3139
限,382
隔,431
際,414
險,303
隻,1738
雅,117
雖,1368
靚,683
面,6569
頭,4317
頹,79
題,2459
願,475
顧,401
風,1213
食,3682
飯,1103
餐,597
香,4005
體,1393
魂,227
麵,307
黐,70
點,8300
！,8544
（,4074
）,4142
，,151468
：,10658
；,2114
？,14976
～,1251
🥲,1
(,1548
),1583
-,2330
6,2731
7,1217
8,1558
9,1867
A,3938
C,2207
D,3900
G,804
I,1778
L,1721
M,1465
O,3132
P,1132
S,2483
T,1994
U,394
W,1532
c,6698
h,6747
j,600
k,3088
m,8116
x,630
y,4550
㩒,17
並,829
享,318
仍,984
令,1754
估,992
作,2887
來,4445
儲,149
先,5452
入,4731
兼,171
再,4876
分,3981
列,396
制,809
刻,2200
則,664
剪,92
勁,331
勝,343
印,457
即,3382
原,2224
句,2254
叫,3262
合,1409
名,1829
吓,630
咪,3102
啦,7208
嘗,362
基,762
夠,1920
失,1556
嫌,133
存,565
容,1116
差,1208
常,1809
強,1046
快,2216
思,1408
性,1828
惜,386
愛,1828
慣,327
懷,390
或,2410
投,685
拆,167
拎,1466
排,768
換,668
搵,2183
改,976
教,1540
整,899
數,1946
易,885
暢,83
曬,224
更,2269
東,1322
板,214
枝,198
某,748
查,396
根,1392
格,864
求,1265
淨,497
添,382
準,629
煩,411
版,407
甚,2035
畀,1565
略,312
疑,559
痴,488
礙,67
種,2490
窒,71
筆,445
算,2931
簡,962
細,1996
網,776
緊,2574
縮,151
總,1067
缺,243
義,1065
者,3549
耗,53
背,601
腦,910
裝,496
複,230
規,411
記,2121
語,3324
說,1844
譬,105
變,2589
象,619
資,794
超,696
越,619
跳,512
軟,227
輕,832
輸,428
轉,1425
迎,243
部,2011
釋,512
錄,391
錫,159
鐘,1204
障,104
隨,836
雜,384
電,2513
需,892
震,355
非,1104
音,1624
頁,120
順,480
預,434
類,1037
首,979
驗,405
驚,1197
高,2395
麻,421
齊,1329
﹑,6
＋,67
 ,2
　,5812
七,788
九,767
五,1269
代,1853
候,1597
免,475
勞,174
千,1036
否,407
呱,13
員,959
嘥,39
回,1741
因,4296
字,2767
富,261
展,666
從,1286
情,3335
描,118
擴,71
救,479
既,18263
普,945
析,214
汗,201
況,884
球,693
甲,126
盾,110
矛,121
示,699
祈,156
究,1406
竟,2256
符,194
答,1143
籃,63
結,2175
翻,300
肉,526
肚,285
苦,776
表,1769
補,446
詞,1118
請,777
謂,975
豪,184
費,573
跟,954
輪,408
辛,266
述,262
酸,99
錢,1595
關,2149
除,1082
響,811
顯,600
飲,1074
／,603
"""",536
",",3155
:,1466
B,1970
E,3924
H,831
R,1158
q,199
久,268
乏,103
互,306
仗,89
份,1597
伸,196
依,3484
保,935
倍,118
內,1027
切,880
勇,236
勾,100
化,1586
卷,108
反,2122
君,275
和,736
善,333
國,3010
在,2965
場,1819
墮,46
壞,371
奠,10
嶄,7
延,123
弱,297
形,795
律,562
志,295
念,685
惡,475
態,666
慘,379
戰,876
承,467
抗,314
持,945
指,1166
損,109
收,1423
敵,205
文,5273
旨,111
明,3775
權,771
此,1221
武,329
殘,222
殺,1136
毒,659
民,1830
注,318
深,1136
源,622
爭,659
物,1553
狀,342
產,656
百,1013
益,261
省,142
破,514
社,975
科,803
稅,68
立,1081
等,2443
節,763
篇,659
素,325
組,462
綁,90
職,487
育,327
荼,6
衍,47
衡,117
角,881
討,394
設,413
誤,341
謀,105
責,499
質,606
賴,123
迫,390
造,429
醒,682
露,315
頂,682
鬥,360
龐,33
.,4537
伊,72
併,21
修,324
元,323
兵,269
刀,337
劍,167
升,640
取,552
古,569
周,551
唐,286
嘛,913
器,243
土,555
型,417
城,692
堡,36
塔,322
士,1239
姨,50
官,531
宮,78
寶,306
寺,13
射,329
廂,121
廟,76
建,614
弩,4
彈,459
慧,88
慳,122
戲,714
技,461
折,171
拔,62
招,342
播,263
據,510
攻,253
斥,98
斯,407
斷,1050
是,4750
智,356
暗,461
暫,210
替,120
木,272
材,295
樓,843
標,589
止,733
殖,99
每,1646
派,534
流,1280
海,1043
混,192
測,203
炮,124
營,180
爽,149
牆,168
玩,1619
看,639
眼,2197
瞭,19
硬,390
磨,143
礦,54
祝,243
福,371
禦,4
童,227
箭,97
築,73
粉,236
羊,51
聖,282
船,224
色,1690
英,1297
蒙,57
藏,145
蘭,214
衝,448
貿,46
車,1612
軍,313
轆,7
農,110
速,421
遊,662
選,1204
銃,3
鎮,127
門,1371
防,254
降,279
院,556
