,Cantonese,Group,English,Pronunciation,Sentence1,Meaning1,Jyutping1,Sentence2,Meaning2,Jyutping2,Sentence3,Meaning3,Jyutping3
97,住,Verb,"to live, to stay, to reside",zyu6,佢住喺隔籬 ,He lives next door,keoi5 zyu6 hai2 gaak3 lei4,我住hall,I live in the dorm,ngo5 zyu6 hall,,,
87,住,Verb,"to live, to reside",,,,,,,,,,
17,係,Verb,"to be (i.e. am, is, are) ",hai6,係喇!,It is! / Yes!,hai6 laa3,佢係。,He/She/It is.,keoi5 hai6,係佢嘞！,It's him/her/it (surely)!,hai6 keoi5 laak3
65,係,Verb,to be (verb to be),,,,,,,,,,
104,俾,Verb,to give,bei2,俾啲提示啦,Please give me some hints,bei2 di1 tai4 si6 la1,,,,,,
65,做,Verb,to do ,zou6,我冇嘢做,I have nothing to do,ngo5 mou5 je5 zou6,唔好做儍事,Don't do stupid thing,m4 hou2 zou6 so4 si6,,,
75,做,Verb,to do,,,,,,,,,,
67,冇,Verb,to not have,,,,,,,,,,
28,到,Verb,"to arrive, to reach",dou3,到咗未呀？,Arrived yet?,dou3 zo2 aa3,佢返到屋企。,He has arrived home.,faan1 dou3 uk1 kei2,到你啦！,Your turn!,dou3 nei5 laa3
62,動詞,Verb,to verb,,,,,,,,,,
20,去,Verb,"to go, to leave",heoi3,去機場？,To the Airport?,heoi3 gei1 coeng4,同我去？,come with me?,tung4 ngo5 heoi3,佢出咗去,He/She went out.,keoi5 ceot1 zo2 heoi3
68,去,Verb,to go,,,,,,,,,,
1001,去,Verb,to go,,,,,,,,,,
92,叫,Verb,"to call, to shout, to tell",giu3,你可以叫我 Jess,You can call me Jess,nei5 ho2 ji5 giu3 ngo5 aa3 dung1,唔好叫咁大聲！,Don't shout so loud!,m4 hou2  giu3 gam3 daai6 seng1,係我叫佢咁做嘅,I'm the one who told her to do so,hai6 ngo5 giu3 keoi5 gam3 zou6 ge3
70,可以,Verb,"to can, to may",,,,,,,,,,
63,唔,Verb,to negation,,,,,,,,,,
49,唔係,Verb,"to not be (i.e. am not, isn't, aren't)",m4 hai6,我唔係本地人,I am not a local,ngo5 m4 hai6 bun2 dei6 jan4,,,,,,
93,唔知,Verb,to do not know,m4 zi1,我唔知,I don't know  ,ngo5 m4 zi1 ,都唔知點收科,I don't know how to end this up,ngo5 dou1 m4 zi1 dim2 sau1 fo1,,,
79,問,Verb,to ask,,,,,,,,,,
56,嚟,Verb,to come,lai4,嚟呢度。,Come here,lai4 ne1 dou6 ,你幾點嚟啊？,When will you come?,nei5 gei2 dim2 lai4 aa3 ,,,
69,嚟,Verb,to come,,,,,,,,,,
81,夠,Verb,to have enough,,,,,,,,,,
19,好,Verb,"to be fond of, to like",hou3,好學,fond of learning,hou3 hok6,佢唔好煙酒㗎。,He/She does not like drinking or smoking.,,,,
109,好似,Verb,"to be similar, to be like",hou2 ci5,呢幅畫像畫得好似你,This portrait is similar to you,ne1 fuk1 waa2 zoeng6 waa6 dak1 hou2 ci5 nei5,我阿叔個樣好似我阿爸,My uncle looks like my dad.,ngo5 aa3  suk1 go3 joeng6 hou2  ci5 ngo5 aa3  ba1,,,
84,學,Verb,to learn,,,,,,,,,,
13,就,Verb,"to compromise, to give in to someone's demands",zau6,你唔好成日就佢，佢話要咩你都買。,"Don't accommodate her all the time, and buy her everything she asks for.","nei5 m4 hou2 seng4 jat6 zau6 keoi5, keoi5 waa6 jiu3 me1 nei5 dou1 maai5.",你唔使就我㗎喎。,You don't have to suit my level.,nei5 m4 sai2 zau6 ngo5 gaa3 wo3,,,
95,就係,Verb,to be (firm),zau6 hai6,我最鐘意嘅台灣歌手就係盧廣仲,My favourite Taiwanese singer is Crowd Lu.,ngo5 zeoi3 zung1 ji3 ge3 toi4 waan1 go1 sau2 zau6 hai6 lou4 gwong2 zung6,,,,,,
119,幫,Verb,to help ,bong1,我儘量幫你, I will try my best to help you.,ngo5 zeon2 loeng6  bong1 nei5,幫我睇睇吖！,Please help me take a look!,bong1 ngo5 tai2 tai2 keoi5 a4,,,
67,得,Verb,to get,dak1,我得咗獎,I got a prize,ngo5 dak1 zo2 zoeng2,,,,,,
