,Cantonese,English
0,雲,cloud
1,龜,turtle
2,燶,burned
3,凍,cold
4,熟,cooked
5,龍,dragon
6,蚊,mosquito
7,好,good
8,爪,claw
9,熱,hot
10,叻,capable / smart / brilliant  
11,香,smells good
12,蟲,bug
13,懶,lazy
14,嘈,loud
15,魚,fish
16,素,vegetarian
17,生,raw
18,酒,alcohol (beverage)
19,吃,eat
20,飲,drink
21,櫈,chair
22,書,book
23,床,bed
24,瘡,sore
25,熱,hot
26,書,book
27,櫈,chair
28,翼,wing
29,抬,table
30,紙,paper
31,鏡,mirror
32,攰,tired
33,癲,crazy
34,梳,comb
35,刷,brush
36,咬,bite
37,信,letter
38,腫,swollen
39,鷹,eagle / falcon / hawk
40,狼,wolf
41,狗,dog
42,煎,pan-fried
43,茶,tea
44,矮,short
45,熏,smoked
46,煨,simmer
47,高,tall
48,雞,chicken
49,瘦,thin
50,醃,marinate
51,竹,bamboo
52,炒,stir fry / sauté
53,花,flower
54,草,grass
55,蒸,braise / steam
56,科,subject
57,焗,roast
58,怪,odd
59,老,old
60,馬,horse
61,儍,silly
62,怪,strange
63,兔,rabbit
64,豹,panther
65,蠢,stupid
66,怪,weird
67,汁,juice
68,瘦,lean
69,豹,leopard
70,靚,beautiful
71,鹿,deer
72,肥,fat
73,熊,bear
74,砖,brick
75,酒,wine
76,豬,pig
77,奶,milk
78,凍,cold
79,枱,table
80,悶,bored
81,碟,plate
82,歌,song
83,飛,ticket
84,褲,pants
85,褸,jacket
86,刀,knife
87,帽,hat
88,枱,table
89,叉,fork
90,歌,song
91,碟,dishes
92,靴,boots
93,雲,cloud
94,衫,clothes
95,杯,cup
96,嘔,spit
97,鈕,button
98,湖,lake
99,鞋,shoes
100,睇,watch
101,銅,copper
102,金,gold
103,鐵,iron
104,銀,silver
105,鋅,zinc
106,錢,money
107,買,buy
108,襪,socks
109,平,cheap
110,書,book
111,飛,ticket
112,抄,copy
113,錄,record
114,租,rent
115,還,return
116,鑊,wok
117,貴,expensive
118,腰,waist
119,舌,tongue
120,罐,can
121,毛,hair (not on head)
122,水,water
123,腳,foot
124,哇,wow
125,浪,wave
126,臉,face
127,眼,eye
128,手,hand
129,喂,hey
130,腦,brain
131,骨,bone
132,血,blood
133,肚,belly
134,驚,afraid / scared
135,嬲,angry
136,煩,annoyed
137,胸,breast / chest
138,頭,head
139,心,heart
140,樹,tree
141,河,river
142,汗,sweat
143,胃,stomach
144,碗,bowl
145,海,sea
146,愛,love
147,星,star
148,鼻,nose
149,頸,neck
150,恨,hate
151,樽,bottle
152,口,mouth
153,嘴,mouth
154,肺,lungs
155,肝,liver
156,唇,lip
157,腿,leg
158,葉,leaf
159,蝦,shrimp
160,水,water
161,聽,listen
162,想,want to / would like to
163,要,want / need
164,梨,pear
165,嚟,come
166,去,go
167,冇,not have
168,有,have
169,係,be (verb to be)
170,桃,peach
171,會,will / would
172,飛,ticket
173,水,water
174,樹,tree
175,李,plum
176,抬,table
177,星,star
178,嘢,something
179,行,walk
180,唔,negation
181,人,person
182,整,make
183,食,eat
184,嚟,come
185,睇,see
186,講,say / speak
187,橙,orange
188,返,return / back / re-
189,愛,love
190,搵,look for
191,住,live / reside
192,做,do
193,根,root
194,學,learn
195,識,know how to
196,船,boat
197,夠,have enough
198,買,buy
199,問,ask
200,車,car
201,飲,drink
202,走,leave
203,去,go
204,月,moon
205,櫈,chair
206,一,one
207,零,zero
208,拉,pull
209,推,push
210,搖,shake
211,佢,he / she / it
212,你,you
213,我,I
214,二,two (for counting)
215,轉,spin
216,拿,here you go
217,行,walk
218,搵,find
219,喂,hello? (on phone)
220,豆,beans
221,看,look at
222,搵,look for
223,蔥,green onion
224,振,vibrate
225,車,car
226,兩,two (for the number of object)
227,四,four
228,書,book
229,柑,tangerine
230,跳,bounce
231,爬,climb
232,第,-th
233,爬,crawl
234,拉,drag
235,逃,escape
236,三,three
237,跌,fall
238,跳,jump
239,跪,kneel
240,十,ten
241,九,nine
242,八,eight
243,七,seven
244,六,six
245,五,five
246,去,go
247,係,be (somewhere)
248,枱,table
249,靚,beautiful
250,好,good
251,好,very
252,左,left
253,上,up
254,攰,tired
255,下,down
256,遠,far
257,小,small
258,米,rice (cooked)
259,新,new
260,米,rice (raw)
261,少,a little
262,熱,hot
263,北,north
264,細,small
265,幾,few / a few
266,近,near
267,夠,enough
268,樹,tree
269,魚,fish
270,幾,few / a few
271,睇,watch
272,神,god
273,湯,soup
274,再,again
275,佛,Buddha
276,班,class
277,蛋,egg
278,鴨,duck
279,雞,chicken
280,肉,meat
281,面,noodles
282,堂,course
283,快,fast
284,暖,warm
285,東,east
286,南,south
287,貴,expensive
288,難,difficult
289,大,big
290,西,west
291,平,cheap
292,凍,cold
293,茶壺,teapot
294,枱布,table cloth
295,火雞,turkey
296,微波,microwave
297,匙羹,spoon
298,雪櫃,refridgerator
299,癌症,cancer
300,花生,peanuts
301,豬肉,pork
302,電話,telephone
303,餐巾,napkin
304,水痘,chickenpox
305,燉 ,stew
306,果仁,nuts
307,玻璃,glass
308,冰格,freezer
309,感冒,cold
310,便秘,constipated
311,豆腐,tofu
312,哮喘,asthma
313,中風,stroke
314,燒烤,grill
315,遙控,remote control
316,咕𠱸,cushion
317,茄子,eggplant
318,梳化,couch / sofa
319,鰻魚,eel
320,生菜,lettuce
321,烘焙,baking
322,燒烤,barbecue
323,蘑菇,mushroom
324,茶几,coffee table
325,水煮,boil
326,地毯,carpet / rug
327,橄欖,olive
328,瘀傷,bruise
329,魷魚,squid / calamari
330,英文,English
331,中文,Chinese
332,洋蔥,onion
333,流血,bleed
334,骨折,broken bone
335,油炸,deep fry
336,淮山,yam
337,核桃,walnuts
338,健康,health
339,抽筋,cramps
340,杏仁,almonds
341,腰果,cashews
342,醫院,hospital
343,頭痛,headache
344,打針,injection
345,肝炎,hepatitis
346,焦慮,anxiety
347,按摩,massage
348,失眠,insomnia
349,流產,miscarriage
350,發作,narcolepsy
351,醫生,doctor
352,你好,hello
353,護士,nurse
354,過敏,allergies
355,藥房,pharmacy
356,扭親,sprain
357,性病,STD
358,病毒,virus
359,疾病,disease
360,瑜伽,yoga
361,結核,tuberculosis
362,夢遊,sleepwalk
363,番薯,sweet potato
364,診所,clinic
365,炒飯,fried rice
366,牛肉,beef
367,食譜,cookbook
368,甩骹,dislocated
369,筷子,chopsticks
370,饅頭,steamed bun
371,米粉,rice noodles
372,炒麵,fried noodles
373,健康,healthy
374,生病,sick
375,薯仔,potato
376,麵粉,flour
377,頭暈,dizzy
378,發燒,fever
379,番茄,tomato
380,南瓜,pumpkin
381,針灸,acupuncture
382,流感,flu
383,中醫,Chinese medicine
384,紫菜,seaweed
385,麵包,bread
386,菠菜,spinach
387,肚痾,diarrhea
388,龍蝦,lobster
389,前台,receptionist
390,電視,TV
391,醜樣,ugly
392,年輕,young
393,植物,plant
394,盆景,bonsai
395,灌木,bush
396,森林,forest
397,茉莉,jasmin
398,粗壯,stout
399,百合,lily
400,橡木,oak
401,蘭花,orchid
402,花瓣,petal
403,玫瑰,rose
404,一半,half
405,足夠,enough
406,整個,whole
407,蓮花,lotus
408,强壯,strong
409,苗條,slim
410,性感,sexy
411,謙虛,modest
412,八卦,nosy
413,討厭,obnoxious
414,癡迷,obsessed
415,自私,selfish
416,敏感,sensitive
417,怕醜,shy
418,固執,stubborn
419,迷信,superstitious
420,聰明,wise
421,禿頭,bald
422,得意,cute
423,黑暗,dark
424,適合,fit
425,靚仔,handsome
426,蒼白,pale
427,懷孕,pregnant
428,宗教,religion
429,聖經,Bible
430,教堂,church
431,魔鬼,Devil
432,巴士,bus
433,公里,kilometer
434,飛機,plane
435,地鐵,subway
436,機票,plane ticket
437,火車,train
438,電車,tram
439,電視,TV
440,主持,host
441,電台,radio station
442,感覺,feel
443,聽見,hear
444,無視,ignore
445,收聽,listen to
446,通知,notice
447,見到,see
448,望住,stare at
449,單車,bike
450,善良,kind
451,機場,airport
452,裏面,inside
453,天主,God
454,祭祖,ancestor worship
455,寺廟,temple
456,天后,Tian Hou
457,巫婆,witch
458,餐廳,restaurant
459,收據,receipt / bill
460,廚師,chef
461,客人,guest
462,餐牌,menu
463,貼士,tip
464,侍應,waiter / waitress
465,邊度,where?
466,呢度,here
467,嗰度,there
468,方向,direction
469,右 ,right
470,出面,outside
471,電話,telephone
472,內向,introverted
473,聰明,smart
474,歌星,pop star
475,海灘,beach
476,森林,forest
477,叢林,jungle
478,月亮,moon
479,植物,plant
480,岩石,rock
481,偶像,idol
482,天空,sky
483,游水,swim
484,瀑布,waterfall
485,職業,occupation
486,演員,actor
487,商人,businessperson
488,廚師,chef
489,牙醫,dentist
490,太陽,sun
491,歌迷,fan of a singer
492,彈琴,play piano
493,鋼琴,piano
494,青銅,bronze
495,水泥,cement
496,鑽石,diamond
497,幾錢,how much it cost
498,散紙,change
499,電影,movie
500,戲院,cinema
501,字幕,subtitles
502,返帶,rewind
503,演員,actor
504,影迷,fan
505,動畫,anime
506,笑片,comedy
507,西片,foreign film
508,鬼片,horror movie
509,音樂,music
510,樂器,musical instrument
511,醫生,doctor
512,農民,farmer
513,漁夫,fisherman
514,記者,journalist
515,保守,conservative
516,黐線,insane / crazy
517,殘忍,cruel
518,好奇,curious
519,呃人,deceitful
520,隨和,easy-going
521,熱情,enthusiastic
522,外向,extraverted
523,友善,friendly
524,搞笑,funny
525,大方,generous
526,貪心,greedy
527,勤力,hard-working
528,誠實,honest
529,無知,ignorant
530,聰明,intelligent
531,醒目,smart
532,自信,confident
533,激烈,intense
534,自負,conceited
535,勇敢,brave
536,律師,lawyer
537,搵工,looking for a job
538,經理,manager
539,護士,nurse
540,差人,police officer
541,政客,politician
542,青瓜,cucumber
543,學生,student
544,老師,teacher
545,翻譯,translator
546,侍應,waiter / waitress
547,作家,writer
548,字典,dictionary
549,郵票,stamp
550,電話,telephone
551,親切,affectionate
552,自大,arrogant
553,冷淡,cold
554,粟米,corn
555,點呀,what's up
556,電話,telephone
557,幾多,how much?
558,肌肉,muscle
559,神經,nerve
560,器官,organ
561,病咗,sick
562,膊頭,shoulder
563,皮膚,skin
564,頭髮,hair (on head)
565,牙齒,teeth
566,嚟M,period
567,鼻涕,snot
568,泳衣,bathing suit
569,皮帶,belt
570,幾時,when?
571,底褲,briefs / panties
572,大褸,coat
573,廁所,bathroom
574,長裙,dress
575,指甲,fingernail
576,耳朵,ear
577,廁紙,toilet paper
578,牙刷,toothbrush
579,刷牙,brush one's teeth
580,粉筆,chalk
581,牙膏,toothpaste
582,電腦,computer
583,床單,sheets
584,手指,finger
585,邊種,which type?
586,西芹,celery
587,電視,TV
588,手臂,arm
589,邊個,which one?
590,背脊,back
591,鬍鬚,beard
592,身體,body
593,枕頭,pillow
594,書檯,desk
595,乜嘢,what?
596,手套,gloves
597,制服,uniform
598,拉鏈,zipper
599,顏色,color
600,米色,beige
601,黑色,black
602,藍色,blue
603,啡色,brown
604,內衣,underwear
605,歷史,history
606,金色,gold
607,綠色,green
608,青色,green-yellow
609,灰色,grey
610,核突,disgusting
611,淺色,light color
612,太多,too many / too much
613,螢光,fluorescent
614,邊個,who?
615,領呔,necktie
616,西裝,suit
617,一齊,together
618,或者,or
619,睡衣,pyjamas
620,雨褸,raincoat
621,跑鞋,running shoes
622,涼鞋,sandals
623,可能,maybe
624,冷衫,sweater
625,頸巾,scarf
626,好多,a lot
627,短褲,shorts
628,一啲,a bit
629,非常,very
630,短裙,skirt
631,拖鞋,slippers
632,絲襪,stockings
