Group,English,Cantonese,Simplified Chinese
Common phrases,what's up,點呀,怎么样啊
Common phrases,thank you!,唔該,谢谢
Common phrases,thank you!,多謝,谢谢
Common phrases,you're welcome,唔使客氣,不用客气
Common phrases,how are you,你好嗎,你好吗
Common phrases,have you eaten yet?,你食咗飯未,你吃饭了没
Common phrases,how have you been lately?,你最近點啊,你最近怎么样
Common phrases,bon appétit!,食飯,吃饭
Common phrases,bye,再見,再见
Common phrases,hello? (on phone),喂,喂
Common phrases,see you tomorrow!,聽日見,明天见
Common phrases,good morning,早晨,早上好
Common phrases,"bill, please",唔該埋單,麻烦结账
Common phrases,here you go,拿,拿
Common phrases,I love you,我愛你,我爱你
Common phrases,could you speak slower?,你可唔可以講得更慢啲,你能说得更慢点吗
Personal pronouns,I,我,我
Personal pronouns,you,你,你
Personal pronouns,he / she / it,佢,他
Personal pronouns,we,我哋 ,我们
Personal pronouns,you (plural),你哋,你们
Personal pronouns,they,佢哋,他们
Numbers,zero,零,零
Numbers,one,一,一
Numbers,two (for counting),二,二
Numbers,two (for the number of object),兩,两
Numbers,three,三,三
Numbers,four,四,四
Numbers,five,五,五
Numbers,six,六,六
Numbers,seven,七,七
Numbers,eight,八,八
Numbers,nine,九,九
Numbers,ten,十,十
Numbers,eleven,十一,十一
Numbers,twelve,十二,十二
Numbers,twenty,二十/廿,二十/廿
Numbers,thirty,三十,三十
Numbers,hundred,一百,一百
Numbers,thousand,一千,一千
Numbers,ten thousand,一萬 ,一万
Numbers,-th,第,第
Numbers,half,一半,一半
Numbers,fifty two,五十二 ,五十二
Numbers,forty one,四十一 ,四十一
Numbers,thirty eight,三十八 ,三十八
Nouns,book,書,书
Nouns,chair,櫈,椅子
Nouns,car,車,车
Nouns,home,屋企,家
Nouns,moon,月,月
Nouns,person,人,人
Nouns,plant,植物,植物
Nouns,something,嘢,东西
Nouns,star,星,星
Nouns,sun,太陽,太阳
Nouns,table,抬,桌子
Nouns,telephone,電話,电话
Nouns,TV,電視,电视
Nouns,tree,樹,树
Nouns,water,水,水
Nouns,kid / child,小朋友,小朋友
Verbs,verb,動詞,动词
Verbs,negation,唔,不
Verbs,will / would,會,会
Verbs,be (verb to be),係,是 
Verbs,have,有,有
Verbs,not have,冇,没有
Verbs,go,去,去
Verbs,come,嚟,来
Verbs,can / may,可以,可以
Verbs,want / need,要,要
Verbs,want to / would like to,想,想
Verbs,want to have,想要,想要
Verbs,make,整,做
Verbs,do,做,做
Verbs,eat,食,吃
Verbs,drink,飲,喝
Verbs,like,鍾意,喜欢
Verbs,ask,問,问
Verbs,buy,買,买
Verbs,have enough,夠,够
Verbs,know,知道,知道
Verbs,know how to,識,认识
Verbs,learn,學,学
Verbs,leave,走,离开
Verbs,listen,聽,听
Verbs,live / reside,住,住
Verbs,look for,搵,找
Verbs,love,愛,爱
Verbs,return / back / re-,返,回
Verbs,come back,翻嚟,回来
Verbs,go back,返去,回去
Verbs,say / speak,講,说
Verbs,see,睇,看
Verbs,translate,翻譯,翻译
Verbs,understand (a concept),明白,明白
Verbs,understand (a language),識聽,听得懂
Verbs,wait for,等陣,等一会儿
Adjectives,good,好,好
Adjectives,beautiful,靚,漂亮
Adjectives,big,大,大
Adjectives,cheap,平,便宜
Adjectives,cold,凍,冷
Adjectives,crazy,黐線,神经病
Adjectives,cute,得意,可爱
Adjectives,difficult,難,难
Adjectives,easy,容易,容易
Adjectives,expensive,貴,贵
Adjectives,fast,快,快
Adjectives,few / a few,幾,几
Adjectives,happy,開心,开心
Adjectives,hot,熱,热
Adjectives,a little,少,少
Adjectives,more,多啲,多一点
Adjectives,new,新,新
Adjectives,sad,唔開心,不开心
Adjectives,small,細,細
Adjectives,small,小,小
Adjectives,so small,好小,太小
Adjectives,tired,攰,累了
Adjectives,too many / too much,太多,太多
Adjectives,not too many / not too much,唔係太多, 不太多
Adjectives,disgusting,核突,恶心
Adjectives,very,非常,非常
Adjectives,very,好,好
Adjectives,warm,暖,暖
Adverbs,a bit,一啲,一些
Adverbs,a lot,好多,很多
Adverbs,again,再,再
Adverbs,enough,夠,够
Adverbs,maybe,可能,可能
Adverbs,or,或者,或者
Adverbs,together,一齊,一起
Questions,who?,邊個,谁呀?
Questions,what?,乜嘢,什么?
Questions,when?,幾時,什么时候?
Questions,where?,邊度?,哪里?
Questions,how much?,幾多,多少?
