,Cantonese,Part of Speech,Group,English,Pronunciation
0,班,Noun,Academics,class,baan1
1,堂,Noun,Academics,lesson,tong4
2,書檯,Noun,Academics,desk,syu1toi2
3,功課,Noun,Academics,"homework, assignment",gung1fo3
4,校長,Noun,Academics,principal,haau6zoeng2
5,成績表,Noun,Academics,"transcript, report card",sing4zik1biu2
6,學期,Noun,Academics,"term, semester",hok6kei4
7,畢業 ,Verb,Academics,to graduate ,bat1jip6
8,讀書,Verb,Academics,to study,duk6syu1
9,溫習,Verb,Academics,to revise,wan1zaap6
10,學校,Noun,Academics,school,hok6haau6
11,幼稚園,Noun,Academics,kindergarten,jau3zi6jyun2
12,小學,Noun,Academics,primary school,siu2hok6
13,中學,Noun,Academics,"secondary school, middle school, high school",zung1hok6
14,大學,Noun,Academics,"university, college",daai6hok6
15,學位,Noun,Academics,degree,hok6wai2
16,文憑,Noun,Academics,diploma,man4pang4
17,證書,Noun,Academics,certificate,zing3syu1
18,中學文憑,Noun,Academics,high school diploma,zung1hok6
19,學士,Noun,Academics,Bachelor's Degree ,hok6si6
20,碩士 ,Noun,Academics,Master's Degree ,sek6si6
21,博士,Noun,Academics,Doctorate (PhD),bok3si6
22,科,Noun,Academics,"subject, course",fo1
23,生物學,Noun,Academics,biology,sang1mat6hok6
24,微積分,Noun,Academics,calculus,mei4zik1fan1
25,化學,Noun,Academics,chemistry,faa3hok6
26,經濟學,Noun,Academics,economics,ging1zai3hok6
27,工程,Noun,Academics,engineering,gung1cing4
28,地理,Noun,Academics,geography,dei6lei5
29,歷史,Noun,Academics,history,lik6si2
30,數學,Noun,Academics,math,sou3hok6
31,音樂 ,Noun,Academics,music,jam1ngok6
32,物理,Noun,Academics,physics,mat6lei5
33,科學,Noun,Academics,science,fo1hok6
34,社會學,Noun,Academics,sociology,se5wui2hok6
35,統計學,Noun,Academics,statistics,tung2gai3hok6
36,城市規劃,Noun,Academics,urban planning,sing4si5kwai1waak6
37,語言學,Noun,Academics,lingustics,jyu5jin4hok6
38,字典,Noun,Academics,dictionary,zi6din2
39,嘅,Affix,Affix,"for indicating possession (i.e. mine,yours, his, her's, its, someone's)",ge3
40,動物,Noun,Animals,animal,dung6mat6
41,貓 ,Noun,Animals,cat,maau1
42,貓仔,Noun,Animals,"kitty, small cat",maau1zai2
43,狗,Noun,Animals,dog,gau2
44,狗仔,Noun,Animals,doggy. Small dog,gau2zai2
45,馬,Noun,Animals,horse,maa5
46,豬,Noun,Animals,pig,zyu1
47,羊,Noun,Animals,"sheep, goat",joeng4
48,熊,Noun,Animals,bear,hung4
49,大笨象,Noun,Animals,elephant,daai6ban6zoeng6
50,獅子,Noun,Animals,lion,si1zi2
51,馬騮,Noun,Animals,monkey,maa5lau1
52,老鼠,Noun,Animals,"mouse, rat",lou5syu2
53,熊貓,Noun,Animals,panda,hung4maau1
54,兔,Noun,Animals,rabbit,tou3
55,雀仔,Noun,Animals,bird,zoek3zai2
56,烏鴉,Noun,Animals,crow,wu1aa1
57,蟲,Noun,Animals,bug,cung4
58,螞蟻,Noun,Animals,ant,maa5ngai5
59,蜜蜂,Noun,Animals,bee,mat6fung1
60,蝴蝶,Noun,Animals,butterfly,wu4dip2
61,曱甴,Noun,Animals,cockroach,gaat6zaat2
62,蜻蜓,Noun,Animals,dragonfly,cing1ting4
63,烏蠅,Noun,Animals,fly,wu1jing1
64,蚊,Noun,Animals,mosquito,man1
65,蜘蛛,Noun,Animals,spider,zi1zyu1
66,青蛙,Noun,Animals,frog,ceng1waa1
67,蛇 ,Noun,Animals,snake,ji4
68,龜,Noun,Animals,turtle,gwai1
69,尾巴,Noun,Animals,tail,mei5baa1
70,翼,Noun,Animals,wing,jik6
71,一個,Article,Article,"a, an, the, one,",jat1go3
72,到,Grammatical Particle,Aspectual Particle,for indicating completion or potential,dou2
73,咗,Grammatical Particle,Aspectual Particle,a perfective particle (finish/have done sth),zo2
74,浴缸,Noun,Bathroom and toiletries,bathtub,juk6gong1
75,刷,Noun,Bathroom and toiletries,brush,caat3
76,梳,Noun,Bathroom and toiletries,comb,so1
77,護髮素,Noun,Bathroom and toiletries,conditioner,wu6faat3sou3
78,牙線,Noun,Bathroom and toiletries,dental floss,ngaa4sin3
79,止汗劑,Noun,Bathroom and toiletries,deodorant,zi2hon6zai1
80,鬚刨,Noun,Bathroom and toiletries,razor,sou1paau2
81,紙巾,Noun,Bathroom and toiletries,tissue,zi2gan1
82,瀉藥,Noun,Bathroom and toiletries,laxative,se3joek6
83,唇膏,Noun,Bathroom and toiletries,lipstick,seon4gou1
84,化妝,Noun,Bathroom and toiletries,make-up,faa3zong1
85,鏡,Noun,Bathroom and toiletries,mirror,geng3
86,指甲鉗,Noun,Bathroom and toiletries,nail clippers,zi2gaap3kim2
87,香水,Noun,Bathroom and toiletries,perfume,hoeng1seoi2
88,M巾,Noun,Bathroom and toiletries,menstrual pad,em1gan1
89,洗頭水,Noun,Bathroom and toiletries,shampoo,sai2tau4seoi2
90,剃鬚膏,Noun,Bathroom and toiletries,shaving cream,tai3sou1gou1
91,沖涼,Noun,Bathroom and toiletries,shower,cung1loeng4
92,洗手盤,Noun,Bathroom and toiletries,sink,sai2sau2pun4
93,番梘,Noun,Bathroom and toiletries,bar soap,faan1gaan2
94,梘液,Noun,Bathroom and toiletries,liquid soap,gaan2jik6
95,沖涼液,Noun,Bathroom and toiletries,bodywash,cung1loeng4
96,棉條,Noun,Bathroom and toiletries,tampon,min4tiu2
97,廁所,Noun,Bathroom and toiletries,"toilet, bathroom, washroom",ci3so2
98,沖廁,Verb,Bathroom and toiletries,to flush,cung1ci3
99,廁紙,Noun,Bathroom and toiletries,toilet paper,ci3zi2
100,牙刷,Noun,Bathroom and toiletries,toothbrush,ngaa4caat2
101,刷牙,Verb,Bathroom and toiletries,to brush one's teeth,caat3ngaa4
102,牙膏,Noun,Bathroom and toiletries,toothpaste,ngaa4gou1
103,凡士林,Noun,Bathroom and toiletries,vaseline,faan4si6lam4
104,床,Noun,Bedroom,bed,cong4
105,床單,Noun,Bedroom,sheets,cong4
106,枕頭,Noun,Bedroom,pillow,zam2tau4
107,手臂,Noun,Body,arm,sau2bei3
108,背脊,Noun,Body,back,bui3zek3
109,鬍鬚,Noun,Body,beard,wu4sou1
110,肚,Noun,Body,belly,tou5
111,血,Noun,Body,blood,hyut3
112,身體,Noun,Body,body,san1tai2
113,骨,Noun,Body,bone,gwat1
114,腦,Noun,Body,brain,nou5
115,胸,Noun,Body,"breast, chest",hung1
116,耳仔,Noun,Body,ear,ji5zai2
117,眼,Noun,Body,eye,ngaan5
118,臉,Noun,Body,face,lim5
119,手指,Noun,Body,finger,sau2zi2
120,指甲,Noun,Body,fingernail,zi2gaap3
121,腳,Noun,Body,foot,goek3
122,頭髮,Noun,Body,hair (on head),tau4faat3
123,毛,Noun,Body,hair (not on head),mou4
124,手,Noun,Body,hand,sau2
125,頭,Noun,Body,head,tau4
126,心,Noun,Body,heart,sam1
127,膝頭哥,Noun,Body,knee,sat1tau4go1
128,腿,Noun,Body,leg,teoi2
129,嘴唇,Noun,Body,lip,zeoi2seon4
130,肝,Noun,Body,liver,gon1
131,肺,Noun,Body,lungs,fai3
132,嘴,Noun,Body,mouth,zeoi2
133,口,Noun,Body,mouth,hau2
134,肌肉,Noun,Body,muscle,gei1juk6
135,神經,Noun,Body,nerve,san4ging1
136,頸,Noun,Body,neck,geng2
137,鼻,Noun,Body,nose,bei6
